Explotació ,Població ,Latitud,Longitud,Unitat Productiva,Sistema Productiu,Estat fenològic ,Mildiu ,Oidi,Botritis
Can Aixartell ,Pollensa,39.8321,3.01812,Precoz,Ecològic,53,Baix,Baix,Baix
Can Aixartell ,Pollensa,39.8321,3.01803,Tardia,Ecològic,53,Baix,Baix,Baix
Sos Ferrers,Manacor,39.6603,3.23663,Precoz,Ecològic,103,Baix,Baix,Baix
Sos Ferrers,Manacor,39.6603,3.23667,Tardia,Ecològic,101,Baix,Baix,Baix
Biniagual,Binissalem,39.6631,2.86968,Precoz,Ecològic,103,Baix,Baix,Baix
Biniagual,Binissalem,39.6607,2.87076,Tardia,Ecològic,101,Baix,Baix,Baix
Can Quart ,Santa Maria,39.6398,2.80315,Precoz,Ecològic,101,Baix,Baix,Baix
Can Quart ,Santa Maria,39.6398,2.80315,Tardia,Ecològic,101,Baix,Baix,Baix
Son Nadal,Felanitx,39.5151,3.15364,Precoz,Convencional,101,Baix,Baix,Baix
Son Nadal,Felanitx,39.5146,3.15402,Tardia,Convencional,101,Baix,Baix,Baix
Sant Catarina,Sencelles,39.6877,2.92425,Precoz,Ecològic,103,Baix,Baix,Baix
Sant Catarina,Sencelles,39.6867,2.92055,Tardia,Ecològic,101,Baix,Baix,Baix
